country_of_origin,region,altitude,company
China,yunnan,above 1100m,"puer jiangcheng fuwang coffee biotechnology co., ltd"
Kenya,nyeri,2000 m,dream together co. ltd
Mexico,hustusco,1350,
Mexico,jaltenango,1500,ecomtrading
Guatemala,"el tumbador, san marcos",,"transcafe, s.a"
Costa Rica,tarrazu,1300,beneficios volcafé costa rica
Indonesia,sumatra brastagi,1400,pt. olam indonesia
Colombia,pitalito,,carcafe ltda
Taiwan,"mountain ali, taiwan",1200m,tropica galliard
Mexico,tapachula,900,finca hamburgo
Ethiopia,limu,,
Honduras,comayagua,1500,cigrah s.a de c.v
Colombia,huila,,skn caribecafe ltda
Honduras,central region,1500,cigrah s.a de c.v
Colombia,la plata,,racafe & cia s.c.a
Colombia,huila,442 msnm,carcafe ltda
Colombia,huila,1800,exportadora de cafe condor s.a
Mexico,tuxtla gutierrez,1700,
Brazil,vale da grama,1200m to 1350m,
Brazil,south of minas,900-1200m,
Guatemala,nuevo oriente,4400-4700 ft,
Taiwan,國姓鄉 guoshing township,1000,taiwan coffee laboratory
Thailand,chiang rai thailand,1200,matsuzawa coffee
Colombia,nariño,2560,carcafe ltda
Guatemala,antigua,1500,"siembras vision, s.a."
Guatemala,huehuetenango,3607,exportcafe
China,yunnan,1400,yunnan coffee exchange
"Tanzania, United Republic Of",shizingo village,1620m,tembo coffee company ltd
"Tanzania, United Republic Of",mbeya,1600,taylor winch (t) ltd
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Colombia,cauca,1700,exportadora de cafe condor s.a
Mexico,san pedro cotzilnam,1450,carajillo café sa de cv
Mexico,veracruz,1170,
Mexico,"la concordia, chiapas",1400,ecomtrading
Uganda,kasese,1700m,bukonzo joint cfs
Guatemala,san marcos,1700,"unex guatemala, s.a."
Costa Rica,tarrazu,1700,exclusive coffee - costa rica
Guatemala,huehuetenango,3664,exportcafe
Guatemala,solola,1565,cafcom
Guatemala,norte,3280,"unex guatemala, s.a."
Nicaragua,jinotega,de 900 a 1100 msnm,cooperativa el gorrion r.l
Brazil,cerrado,1150,cafebras comercio de cafés do brasil sa
Costa Rica,tarrazu,1850,"ceca,s.a."
Ethiopia,snnprg; kafa; telo woreda; shada kebele,1545-1668 masl,asefa dukamo coffee plantetion
"Tanzania, United Republic Of",arusha,1400,selian coffee estate
Colombia,huila,1530,olam international ltd
Guatemala,,,volcafe specialty coffee
Kenya,kenya,approx. 1'500 metres a.s.l.,taylor winch (coffee) ltd
Brazil,"minas gerais, br",894m - 1183m,café do paraíso
Guatemala,guatemala,,unicafe
Uganda,mt. rwenzori,1500-1700m,great lakes coffee
Indonesia,aceh tengah,,pt. royal pacific indah international
Colombia,huila,442,carcafe ltda
Taiwan,"nanxi dist., tainan city 臺南市楠西區",968,taiwan coffee laboratory
Guatemala,"aldea xeucalvitz, ixil region, quiche department",1550,lusso coffee lab
Mexico,santo domingo cacalotepec,1480,
Ethiopia,"ethiopia, sidamo",1800m,the specialty coffee appraisers institute of asia
Ethiopia,sidamo,1800,kyagalanyi coffee ltd
Guatemala,huehuetenango,5440 - 5760 metros,exportcafe
Colombia,huila,1600,olam international ltd
Colombia,huila,1480,olam international ltd
Colombia,santander,1450,ecom cca sa
Ethiopia,sidamo,1550 m,lusso coffee lab
Brazil,south of minas,1260,ipanema coffees
Colombia,cauca,1700 msnm,exportadora de cafe condor s.a
Kenya,blend,above 1200 m,ibero kenya limited
Thailand,thailand,,mae fah luang foundation
Kenya,central kenya,1650,taylor winch (coffee) ltd
Thailand,,,
Brazil,south of minas,890,ipanema coffees
Mexico,veracruz,1300,cafes tomari sa de cv
Thailand,chiangrai,1350,intercof 1978 group company limited
Brazil,south of minas,934,ipanema coffees
Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",1200,taiwan coffee laboratory
Taiwan,台灣,,宸嶧國際
Colombia,huila,,federacion nacional de cafeteros
Taiwan,台中和平區,950公尺,宸嶧國際
Mexico,xicotepec de juarez,900,agro xicotepec 2000
Mexico,la concordia,1500,ecomtrading
Mexico,la yerbabuena,1400,organizaciones de productores de cafe colimense sa de cv
Colombia,nariño,2527,carcafe ltda
Taiwan,台灣,1200,宸嶧國際
Brazil,south of minas,1,ipanema coffees
Taiwan,"dongshan dist., tainan city 臺南市東山區",480-570m,taiwan coffee laboratory
Ethiopia,oromia,1650-1703,yasmin coffee plantation plc
Brazil,south of minas,1200,ipanema coffees
Costa Rica,central valley,1200-1400,coricafe s.a.
Ecuador,"province of manabi, ecuador",800 meters above sea level,sultana del cafe inc.
Mexico,petatlan,1218,
Mexico,"la concordia, chiapas",1300,ecomtrading
Brazil,carmo de minas,1.250 m,exportadora de cafés carmo de minas ltda
Thailand,"doi chaang village, chiang rai, thialand",4921ft,
Taiwan,"台南市東山區 (dongshan dist., tainan city)",750,taiwan coffee laboratory
China,yunnan,1650,yunnan coffee exchange
Uganda,west nile,1400,nile highlands arabica coffee farmers
United States (Puerto Rico),yauco region,2800 ft,"hacienda alto grande, llc."
Colombia,huila,1500-1600,olam international ltd
Colombia,huila,1750,exportadora de cafe condor s.a
Mexico,"huazalingo, hidalgo",700,
Guatemala,quetzaltenango,1300 mts,the coffee source inc.
Colombia,cauca,1600 m.s.n.m,
Kenya,meru county,1700,taylor winch (coffee) ltd
Nicaragua,jinotega,1250,"comercial internacional exportadora, s.a."
Thailand,thailand,800++,doi tung development project
Colombia,huila,1550-1700m,olam specialty coffee
Guatemala,huehuetenango,4451 metros,exportcafe
Colombia,huila supremo,1750 msnm,exportadora de cafe condor s.a
Colombia,huila,1800 - 2000,racafe & cia s.c.a
Guatemala,oriente,1450,the coffee source inc.
Mexico,xicotepec de juarez,1100,
Indonesia,east java,1200-1600masl,scai
Guatemala,"sacatepequez, guatemala",5000,"siembras vision, s.a."
Guatemala,huehuetenango,3702,exportcafe
China,yunnan,1100,yunnan coffee exchange
Mexico,"chiapas, jaltenango",1200,exportadora café california
Ethiopia,yirgacheffe,1700-2000m,essence coffee
Uganda,eastern,1800,bulamburi coffee farmers association
Colombia,cundinamarca,1600,ecom cca sa
Colombia,huila,de 1.600 a 1.950 msnm,c.i.racafe & cia s.c.a
Mexico,xalapa,1000,ecomtrading
Brazil,south of minas,1100m,nucoffee
Colombia,cundinamarca,1799,carcafe ltda
Taiwan,,,宸嶧國際
Colombia,pitalito,1000,carcafe ltda
Guatemala,oriente,4000,"unex guatemala, s.a."
"Tanzania, United Republic Of",nkure- meru,1400m,tawoca
Indonesia,bener meriah,1500,pt. olam indonesia
Ethiopia,oromia,1600 on average,debesa agro industry plc
Colombia,huila,1850 msnm,exportadora de cafe condor s.a
Guatemala,atitlan,1400 mts,the coffee source inc.
Colombia,cundinamarca,1650,ecom cca sa
Honduras,comayagua,1350,cigrah
Mexico,xalapa,1170,finca los barreales
Mexico,chilón,940,estrategias constructivas corzu s.a. de c.v.
Mexico,totutla,1400,
Guatemala,atitlan,5000,kanematsu corporation / rnp santo tomas pachuj
Colombia,huila,de 1600 a 1950 msnm,c.i.racafe & cia s.c.a
Guatemala,oriente,4600 ft.,coffee resources inc.
Indonesia,bondowoso,1600,
Colombia,huila,439,carcafe ltda
Uganda,eastern,1800,bugisu cooperative union
Thailand,thailand,1200,matsuzawa coffee
El Salvador,apaneca,1330,consejo salvadoreño del café
Brazil,vale da grama,,bourbon specialty coffees
"Tanzania, United Republic Of",karatu northern,1600,ngila estate ltd
Colombia,huila,1813,ecom cca sa
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Colombia,cundinamarca,1450 msnm,exportadora de cafe condor s.a
Colombia,huila,1650,exportadora de cafe condor s.a
Colombia,guayata,,racafe & cia s.c.a
Brazil,south of minas,1227,ipanema coffees
Mexico,chiapas,1200,exportadora café california
Colombia,santander,1650 msnm,exportadora de cafe condor s.a
