country_of_origin,region,altitude,company
Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,1800 meters (5900,
Colombia,guayata,1600,racafe & cia s.c.a
Colombia,cauca,1050 - 1850 msnm,
Colombia,huila,,racafe & cia s.c.a
Colombia,huila,1600-1800 msnm,
Colombia,south huila,1400 thru 1850,ecom cca s.a.
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Colombia,antioquia,1300,the coffee source inc.
Colombia,huila,1.65,coffee export
Colombia,,,costco wholesale industries
Colombia,cundinamarca,2136 msnm,carcafe ltda
Colombia,huila,1200-2000m,essence coffee
Colombia,cauca,1800,federacion nacional de cafeteros
Colombia,huila,1750 m.s.n.m,
Colombia,huila,1600 - 1950 msnm,racafe & cia s.c.a
Colombia,,,cafe politico
Colombia,cauca,1600 msnm,
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Colombia,guayata,1500,racafe & cia s.c.a
Colombia,huila,1600 a 1900 msnm,racafe & cia s.c.a
Colombia,,,exportadora de cafe condor s.a
Colombia,la plata,1600 - 1950 msnm,c.i.racafe & cia s.c.a
Colombia,santander,1500,racafe & cia s.c.a
Colombia,huila,1800 msnm,
Colombia,tolima,900-1500m,lusso coffee lab
Colombia,cundinamarca,1600 m.s.n.m,
Colombia,huila,1500-1750 msnm,exportadora de cafe condor s.a
Costa Rica,central valley,,"f. gaviña & sons, inc."
Costa Rica,tarrazu,1900,bold coast coffee
Costa Rica,brunca,1100,the coffee source inc.
Costa Rica,tarrazu,1550,panamerican coffee trading
Costa Rica,tres rios,1200-1400 masl,"cafetalera internacional cafinter, s.a."
Costa Rica,tarrazu,1.85,"ceca,s.a."
Costa Rica,central valley,1200-1400,coricafe s.a.
Costa Rica,west valley,1300,the coffee source inc.
Costa Rica,turrialba,1.3,"ceca,s.a."
Costa Rica,costa rica,1750m,essence coffee
Costa Rica,west and central valley,1300,exclusive coffees s.a.
Costa Rica,west valley,1200,coricafe s.a.
Costa Rica,,,thrive farmers
Costa Rica,tarrazu,1700,exclusive coffee - costa rica
Costa Rica,san rafael,,s&d coffee and tea
Costa Rica,tarrazu,,panamerican coffee trading
Costa Rica,san ramon,1300 msnm,the coffee source inc.
Costa Rica,tres rios,1450 ~ 1700 m,lusso coffee lab
Costa Rica,valle central,1200,beneficios volcafé costa rica
